idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,OLR_used,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label
0,0.3746456144138647,0.10831318390286421,0.013120456788846956,0.23421898896123808,0.2174114328029445,0.05229032313024165,39.895243118156344,39.187743310855254,7.845657291842974,7.845657291842974,True,115.05092689819334,7.312768229480568,5.629170205808349,0.006052793805839234,0.1530763932680122,-0.0034924731128968232,20,,2
1,0.5424724345919466,0.048863461219278155,0.1288984714862395,0.21470867511298317,0.007553568339611553,0.05750338924994107,36.30472212962378,34.12497143540064,7.652664022257563,7.652664022257563,True,101.86742681464573,7.27597988423617,4.929695093300175,0.004109226589336643,0.09023511800369116,-0.00157852717316878,21,,2
2,0.16586844230875133,0.11875463739318626,0.01028691263123144,0.5529546067793102,0.0022001753011264536,0.14993522558639436,27.360118042410306,39.04744161373786,7.665817474815253,7.665817474815253,True,128.01831975020107,6.86981308803089,10.760421731139079,0.0011961064206645593,0.13600440657566726,-0.0025045847442844668,4,,2
3,0.29259932299868807,0.1603434420875102,0.022746666353652276,0.5226405249673127,0.0014844674869981278,0.00018557610583862054,26.927819243069987,37.565059913596045,7.212810074590078,7.212810074590078,True,115.14365810158824,7.07535271548249,7.111682253108016,0.0014168439673849698,0.08197214081204182,-0.0010366095698731723,6,,2
4,0.6396636675359597,0.004480161981229161,0.18126006613684148,0.005678468040028913,0.11411070760546421,0.05480692870047653,43.660464432004225,35.10902289032427,7.849027780520228,7.849027780520228,True,95.66655766328121,7.44889762524904,2.4245155582569398,0.008846332254839695,0.08324705848703952,-0.0012733731333148734,-1,,1
5,0.38321809637701587,0.0011012096640102165,0.021643349108636384,0.4652433624484233,0.061396365365905134,0.06739761703600926,32.52718946961652,39.66578862310805,6.365760157424375,6.365760157424375,True,102.28919727699532,7.147752614427358,7.349005233824732,0.0027064301293250183,0.12422230572139985,-0.0026064475619138414,9,,2
6,0.6429161772941545,0.021828570952572228,0.19738513143596823,0.0054348648066395115,0.0013647101479648221,0.13107054536270069,39.35520472007287,38.77986650009603,7.071282910182598,7.071282910182598,True,85.83068186627591,7.330616104758426,4.080667677659256,0.005858989470305644,0.09364754279484627,-0.0015549697769752372,30,,2
7,0.1708030874840595,0.034472733167037715,0.04572888477599034,0.5153353565265905,0.06862854700888389,0.1650313910374382,27.128390637427657,39.977618261855966,7.627136144312711,7.627136144312711,True,126.44416023833479,6.832838725316448,11.19680029488065,0.0011090707085828222,0.13933662258796176,-0.0024703888606745846,4,,2
8,0.4797356669872265,0.009231503161025407,0.06860355348840974,0.30660707350421823,0.11187161918908729,0.023950583670032735,36.56034431615085,32.49439861472665,7.95688638349107,7.95688638349107,True,111.89741194882124,7.264385455722444,5.593007159881727,0.00412805636553151,0.10822490000558273,-0.002255524220849114,17,,2
9,0.5134634473905696,0.1027334928647169,0.009267153276804087,0.33725227733075874,0.024934188376166216,0.012349440760984366,26.441182941458873,36.04983027598658,6.824040492966762,6.824040492966762,True,94.3296491143482,7.104073153351627,6.079213562258085,0.001381440908081334,0.054222339289740726,-1.9053005640557762e-05,8,,2
