idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,OLR_used,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label
0,0.009985723353977087,0.002441531731202833,0.002160347142375914,0.8753559457670262,0.04607367774727543,0.06398277425814265,34.15544999908491,13.549247263795273,9.549457786561636,9.549457786561636,True,151.384456464309,7.289555437263342,1.4187786877892938,0.0023849500508998137,0.00963017073178804,-0.0018053175035274561,-1,,0
1,0.33422584532495025,0.04351361560868699,0.00034937544682827216,0.5286785464711968,0.05636728743074559,0.036865329717592106,39.789061602917414,15.49993344626789,7.4695647753494345,7.4695647753494345,True,103.62922541826109,7.37748079461566,0.21150685446307455,0.003314800534067796,0.0004758707997041815,-0.0018042673547827427,-1,,0
2,0.01916213899077745,0.08271882793733598,0.00043341392896360423,0.41585505434528997,0.4188099558939382,0.06302060890369468,33.605111894531944,13.521133902146644,10.191947903339722,10.191947903339722,True,125.0726485048293,7.234658072153847,0.19973094742905187,0.0014106191774398576,-0.0006141424976904389,-0.002946304161643132,-1,,0
3,0.08615398189633981,0.004610159369552747,0.010243405616374735,0.7527939134264913,0.0520200450563959,0.09417849463484561,36.76212981891928,16.693910513901102,7.467005644297542,7.467005644297542,True,122.18977860247709,7.372466890284783,0.7207680320270913,0.0033043912040268473,0.010513640520354781,-0.0017560516341907529,-1,,0
4,0.05549074671107749,2.016824042318118e-05,0.07045111852502445,0.6649879597095983,0.02539405264853782,0.18365595416533873,32.54878566489294,17.316022159388872,7.178260555730378,7.178260555730378,True,111.3457296128531,7.305022274726726,0.9203386309851185,0.0021675211535848267,0.006287571222261429,-0.002010323069142642,-1,,0
5,0.055631665713441004,0.018044844255506755,0.191835320765076,0.5760804812364227,0.0030903702485629856,0.15531731778099042,33.78485343937202,16.226054475203675,7.977529619081049,7.977529619081049,True,114.78042733633342,7.304954217371574,0.40333475436550703,0.002117250151207417,0.00037551787087795175,-0.0021089192482376035,-1,,0
6,0.041333144555456815,0.011180680333653466,0.018062362234058233,0.9078167814135927,0.004860255042017093,0.016746776421221632,36.29690335128992,12.791333703156944,10.13939490726947,10.13939490726947,True,160.97763120651044,7.3278631326444055,1.1293013376753493,0.002917449267044693,0.010060494749734857,-0.001636060858305392,-1,,0
7,0.4234015653048413,0.0010180683816617424,0.004228663739768479,0.45342094630328084,0.06067898667391363,0.05725176959653402,36.68764273754488,13.886930667704664,7.95628472871349,7.95628472871349,True,98.54719211965211,7.32649449435143,0.24284444062623714,0.002328915734523008,-0.00042110018922160116,-0.0020197645901478584,-1,,0
8,0.012621087605548737,0.0021315005703263948,0.03432673390273941,0.852334150207477,0.05922748268285902,0.039359045031049505,31.829657409351295,13.579860324295474,9.682153168174674,9.682153168174674,True,148.8764380556408,7.2594318378341125,1.3247085914238859,0.0018171742133632671,0.003855814512681563,-0.001714069243220676,-1,,0
9,0.0001210569156006086,0.06181984699723465,0.14635573732682536,0.6839735272646283,0.024738909857376486,0.08299092163833455,41.13411615554827,15.2654326316473,8.904420723710418,8.904420723710418,True,138.70388366994254,7.394382671937706,0.29413596346649257,0.004250834437285741,0.0027384524632773134,-0.0015365106783510867,-1,,0
10,0.2573632969872607,0.14529769588575836,0.00499238568348982,0.3060119038622717,0.16418245405097945,0.12215226353024003,31.43942853425893,15.611686135570897,7.745327637485998,7.745327637485998,True,88.46098663166664,7.2326703856761085,0.2037434454855131,0.0012269560310836098,-0.0009273504792639891,-0.003198188746683093,-1,,0
11,0.023194999289951525,0.03151308781504878,0.0879876710692007,0.5829450378406071,0.1918640006055129,0.08249520337967906,38.392652546637024,13.959518658890897,9.610094947053623,9.610094947053623,True,136.30788949083666,7.3392836127441,0.2681973388303445,0.0029288936846441666,0.0007624528840597907,-0.0018990998707313048,-1,,0
12,0.04444222321969575,0.0006881967844893976,0.03248265651054937,0.6855773790439256,0.010759222332681687,0.22605032210865822,30.352809835339,14.434553540742236,8.454755141982968,8.454755141982968,True,121.94704199509806,7.22034477929412,1.5319851095376973,0.0015893517661842915,-0.003379315683073073,-0.0016083924566314789,-1,,1
13,3.062777276425222e-06,0.08652378774987853,0.01145927983997436,0.23237288043818555,0.541247753691363,0.12839323550332193,33.388121949009935,14.34166931769341,9.678421104462664,9.678421104462664,True,108.52925529512086,7.1908240091761115,0.1468606213677099,0.0011571227426059646,-0.0005230848531217095,-0.003989869727516842,-1,,0
14,0.0013986900244919312,0.04255316426617425,0.14672543415013942,0.7355986853147441,0.01869907191235963,0.05502495433209082,34.56356109997278,13.220587171814245,10.30542201398026,10.30542201398026,True,149.8559412040218,7.3001457162215555,0.5248953453728324,0.0021995851746077592,0.0009631732768311704,-0.0017464106445980625,-1,,0
15,0.03950457564158017,0.009430125048058506,2.945484915126052e-06,0.8024372600186248,0.008455261311915227,0.14016983249490628,41.25014859491196,17.552516082642413,7.097868523529474,7.097868523529474,True,124.45497824546369,7.434388054768166,0.7776036529503849,0.005471687944802506,0.019699900204752697,-0.0017616843821181686,-1,,0
16,0.21198969711175383,0.018452678352161814,0.03143414242636928,0.7140005377199793,0.008965246326634759,0.015157698063101114,32.06958795529262,11.974979397818256,10.15896412961279,10.15896412961279,True,135.40257036875855,7.265067978830963,0.706858357910788,0.0016319676139345124,-0.002742880063190211,-0.0014935663235092764,-1,,0
17,0.004012246638955575,0.0006784974652877893,0.003772805620863664,0.9157735382495653,0.05678926477882614,0.018973647246501666,41.81376471228178,14.447897948917994,9.112820072103753,9.112820072103753,True,157.65688749612562,7.429841388232343,0.7783588237716573,0.005416467258761698,0.017462610557057088,-0.001573340788150533,-1,,0
18,0.030263580144635663,0.045110838705691325,0.10590179502636857,0.7084126490745627,0.03654196262184739,0.07376917442689435,38.25452589203572,14.70566993562926,9.02302968499856,9.02302968499856,True,138.43382886276393,7.364573539532363,0.4048679770630342,0.0033285668993477536,0.00313627861754013,-0.0016104126432385454,-1,,0
19,0.01113587202350089,0.013478504653071342,0.005317840635659646,0.7330633154455886,0.014849594632502067,0.2221548726096774,31.466800037377514,14.422221661452676,8.560484310018593,8.560484310018593,True,128.00414581512211,7.231681180486923,1.6787902210061125,0.0018149339646653983,0.0009316253667820049,-0.0017007912377275036,-1,,1
20,0.48698946794125786,0.07258596141538676,0.07090783105704816,0.2729855578087785,0.010229339282259801,0.08630184249526884,30.517950801728205,10.008236974352844,10.98423201529514,10.98423201529514,True,92.85956000881527,7.165332491288577,0.31519569003942977,0.0008920316662523756,-0.0010012973764941453,-0.0024000832951982243,-1,,0
21,0.03250063101340072,3.87397898810761e-05,0.018595216179695825,0.7634471716027469,0.11388638849862166,0.07153185291565388,30.236736023139255,14.026878783841203,9.222181325157576,9.222181325157576,True,136.2474041455543,7.24204269780972,1.1874618860413177,0.0015223516127742562,-0.0008183831761318975,-0.0017130402195659846,-1,,0
22,7.435509900358205e-05,0.009497239662082893,3.7455479299687606e-06,0.6954464732482053,0.04512541480981795,0.24985277163296032,31.07054275146687,10.280921043326039,11.980747537399674,11.980747537399674,True,152.7401707182992,7.152480568552137,1.7343609730706717,0.001406430904264156,-0.010130890519492829,-0.0008909097747892051,-1,,1
23,0.11369266673155688,0.17544035435358843,0.026766907480384787,0.40604291202885007,0.13898403384921748,0.13907312555640225,31.16001150287281,14.19327909596521,9.080859397762135,9.080859397762135,True,107.90479658346365,7.221095465620365,0.2663714117955702,0.0012464714374618966,-0.0015605357340635988,-0.002935316143239547,-1,,0
24,0.08954325904658478,0.017562463302769785,0.2687310402270558,0.30077735288658886,0.041655210816621345,0.2817306737203793,37.59005031233615,11.723995509059307,10.736338093404056,10.736338093404056,True,116.45348249256888,7.243584118926481,0.2036058922724666,0.0021242739567023596,-0.0009444045387426885,-0.002664523270178141,-1,,0
25,0.22682101948674244,0.0028296096244534706,7.53884956925515e-09,0.6041185274961224,0.01333271730147365,0.15289811855235846,40.98098356373815,11.455337305431724,10.059694650649682,10.059694650649682,True,134.75482049097064,7.372518094800795,0.4013033921256101,0.003992006004432248,0.0006186683335927768,-0.0013054420669443064,-1,,0
26,0.0028628231024891244,0.008707348433783355,0.11177536276450822,0.7226523893633853,0.018846759997187115,0.135155316338647,35.1975256366637,15.119399956850689,8.625888003871673,8.625888003871673,True,133.37045018796263,7.326227062580896,0.7470651319551389,0.0026734431921126797,0.005739338231797805,-0.0018301544634187587,-1,,0
27,0.01674475932792293,4.009020591498614e-05,0.01735946087274839,0.6428690326747376,0.047858619674528285,0.27512803724414786,37.48922459215774,11.640014892586539,10.458481576172533,10.458481576172533,True,145.348446207762,7.307907559272432,0.947827062592947,0.003135221896809779,0.0014317075853335223,-0.0014553560547231326,-1,,0
28,0.016143173785921536,0.026696783096236777,0.0002494583039093307,0.5990700126862682,0.13967159925289202,0.2181689728747721,32.36212187282531,12.05225121524909,10.402846569716974,10.402846569716974,True,136.8331581106154,7.237044810715477,0.9348483750619196,0.001756750148278915,-0.00448335052110389,-0.0015996809736615238,-1,,0
29,0.07536539273206938,0.06458596732269364,2.8843559643652104e-07,0.5785822751489663,0.06801707010497085,0.21344900625570337,36.79839148042722,16.708880145005157,7.345227004587091,7.345227004587091,True,111.07613220991547,7.358348503195958,0.5304385775754322,0.003175563671566896,0.004550676654191686,-0.0018313219451879374,-1,,0
30,7.457093178591294e-05,0.003908794087301588,0.012284505279045862,0.9329711235257372,0.003419259578666394,0.04734174659746294,32.07931917372562,13.903026568159177,9.373046843921026,9.373046843921026,True,150.9636382709693,7.247171585188114,1.853081170575595,0.0019190923146797335,0.008713697868251095,-0.001810646128516794,-1,,1
31,0.0181170697242323,0.2035880925849389,0.015465506106854406,0.7242676178551273,0.011388104256128597,0.027173609472718466,32.647665504826996,16.238829952073797,8.472676130669274,8.472676130669274,True,129.37313585329161,7.305070209775675,0.4458597808320926,0.0018981388587789283,0.0016635272816178243,-0.00196149084206203,-1,,0
32,0.005808089423710264,0.19708627424594533,0.03232251048623951,0.6807199041687471,0.06257994698544837,0.02148327468990931,34.744168270820616,11.235602704902801,12.451506561430906,12.451506561430906,True,162.8380852732639,7.263660445187932,0.354409851331475,0.0018381927189691834,-0.0008001812829109235,-0.0018340484476766109,-1,,0
33,0.328680179066797,0.033988667712109906,0.011544463792663169,0.46890284388091236,0.007328867759590435,0.14955497778792728,38.071006707193845,14.317535852936784,7.82755836401441,7.82755836401441,True,101.90857992755784,7.348423466974541,0.2860591650926754,0.002940165582753702,-2.423977537511021e-05,-0.0018707088030144592,-1,,0
34,0.21916234709411667,0.003711034001213848,0.010675521731310854,0.47455457499509146,0.006607261628476405,0.2852892605497907,37.96977413447902,11.744576713433638,9.520397742445272,9.520397742445272,True,118.55608135446684,7.32332052043894,0.5033230019848162,0.003033600494351951,-0.001003852575615315,-0.001560349623913964,-1,,0
35,0.23250363569619725,0.011974252727510022,0.02897653244275691,0.6524966527653563,0.03601371690375303,0.03803520946442638,33.17829722437909,12.573078537635151,9.544009074067837,9.544009074067837,True,126.84419885445057,7.286336548970028,0.5384568100345319,0.001829938075979638,-0.0015469573914125517,-0.0016502743933394925,-1,,0
36,0.18719745767089632,0.003465900750332652,0.033015751351478856,0.40050748956303045,0.15859757866604546,0.2172158219982161,40.126553843304364,12.321583547138381,9.549660203869266,9.549660203869266,True,117.2345287745006,7.336358304057042,0.25396892482989436,0.003274680228740062,-0.00028111560322493476,-0.0019018153457394371,-1,,0
37,0.06000935325498191,3.5353303939374955e-05,0.001668195612651159,0.863229956447918,0.07219978756217726,0.0028573538183322214,38.26657474489327,15.028707033527143,8.605331117933817,8.605331117933817,True,143.91504848729804,7.388471318677126,0.7358888722976378,0.003734211344275607,0.012280542620339873,-0.0016154656746845413,-1,,0
